parcel_id_str,farmer,district,mandal,crop,acreage,health,risk,confidence,lat,lng,ndvi,evi,ndre
WG-00210,Rajeshwari,West Godavari,Palacole,Paddy,10.09,71.7,Medium,88,16.527987,81.70012,0.87,0.78,0.5
WG-00211,Mohan Rao,West Godavari,Pentapadu,Paddy,1.2,68.3,Medium,86,16.816567,81.530054,0.89,0.85,0.5
WG-00212,Divya,West Godavari,Penugonda,Cotton,11.37,76.7,Low,86,16.654722,81.771244,0.89,0.85,0.54
WG-00213,Prasad,West Godavari,Penumantra,Paddy,1.22,80.2,Low,89,16.605074,81.690583,0.89,0.8,0.53
WG-00214,Swapna,West Godavari,Poduru,Red Gram,11.44,63.8,Medium,82,16.569775,81.742227,0.74,0.69,0.52
WG-00215,Naresh,West Godavari,Tadepalligudem,Chilli,5.01,69.0,Medium,89,16.959052,81.603639,0.87,0.78,0.57
WG-00216,Bhavani,West Godavari,Tanuku,Paddy,1.57,69.7,Medium,91,16.794526,81.648152,0.88,0.77,0.51
WG-00217,Srinivasa Rao,West Godavari,Undi,Paddy,5.54,85.0,Low,89,16.623864,81.430169,0.89,0.78,0.63
WG-00218,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,3.7,64.7,Medium,81,16.488553,81.673087,0.88,0.78,0.5
WG-00219,Venkata Ramana,West Godavari,Ganapavaram,Maize,8.75,60.6,Medium,80,16.657274,81.563346,0.82,0.78,0.55
WG-00220,Sailaja,West Godavari,Kalla,Paddy,6.26,66.2,Medium,86,16.445902,81.406327,0.86,0.82,0.53
WG-00221,Srinivasa Rao,West Godavari,Achanta,Paddy,6.36,66.5,Medium,87,16.626714,81.832587,0.81,0.78,0.57
WG-00222,Lakshmi Devi,West Godavari,Akiveedu,Cotton,5.54,55.8,High,85,16.664157,81.787934,0.71,0.64,0.5
WG-00223,Venkata Ramana,West Godavari,Attili,Cotton,10.91,75.2,Low,85,16.638756,81.560417,0.89,0.85,0.57
WG-00224,Sailaja,West Godavari,Bhimavaram,Paddy,7.19,80.0,Low,93,16.577226,81.552446,0.87,0.84,0.58
WG-00225,Ramesh Babu,West Godavari,Elamanchili,Paddy,11.05,82.3,Low,96,16.808535,81.58973,0.89,0.81,0.63
WG-00226,Padma Priya,West Godavari,Iragavaram,Paddy,11.57,72.0,Medium,89,16.664604,81.757849,0.84,0.78,0.52
WG-00227,Kiran Kumar,West Godavari,Mogalthur,Paddy,7.04,79.6,Low,89,16.446543,81.480268,0.92,0.85,0.59
WG-00228,Anitha,West Godavari,Narasapuram,Cotton,2.84,65.8,Medium,87,16.358229,81.728363,0.74,0.7,0.52
WG-00229,Satyanarayana,West Godavari,Palacoderu,Paddy,4.62,73.6,Medium,86,16.567933,81.610401,0.87,0.78,0.57
WG-00230,Rajeshwari,West Godavari,Palacole,Paddy,7.83,71.1,Medium,83,16.501145,81.704957,0.81,0.7,0.61
WG-00231,Mohan Rao,West Godavari,Pentapadu,Maize,11.39,60.3,Medium,81,16.742766,81.610481,0.71,0.61,0.46
WG-00232,Divya,West Godavari,Penugonda,Paddy,0.83,87.7,Low,90,16.656142,81.786672,0.92,0.85,0.57
WG-00233,Prasad,West Godavari,Penumantra,Chilli,2.5,68.5,Medium,85,16.602027,81.618025,0.78,0.67,0.52
WG-00234,Swapna,West Godavari,Poduru,Paddy,5.07,86.0,Low,90,16.533761,81.73447,0.91,0.85,0.57
WG-00235,Naresh,West Godavari,Tadepalligudem,Paddy,11.72,67.4,Medium,91,16.874938,81.570752,0.77,0.67,0.53
WG-00236,Bhavani,West Godavari,Tanuku,Paddy,4.08,76.4,Low,93,16.758471,81.710592,0.9,0.8,0.61
WG-00237,Srinivasa Rao,West Godavari,Undi,Red Gram,10.92,58.5,High,87,16.603967,81.474237,0.77,0.66,0.46
WG-00238,Lakshmi Devi,West Godavari,Veeravasaram,Chilli,3.46,63.2,Medium,89,16.548567,81.619816,0.79,0.67,0.53
WG-00239,Venkata Ramana,West Godavari,Ganapavaram,Cotton,1.25,68.6,Medium,87,16.701225,81.487712,0.76,0.64,0.58
WG-00240,Sailaja,West Godavari,Kalla,Red Gram,2.94,66.2,Medium,83,16.542505,81.466724,0.86,0.75,0.52
WG-00241,Srinivasa Rao,West Godavari,Achanta,Cotton,6.94,70.5,Medium,90,16.58612,81.770311,0.85,0.73,0.61
WG-00242,Lakshmi Devi,West Godavari,Akiveedu,Chilli,7.0,66.2,Medium,84,16.519367,81.487547,0.8,0.72,0.57
WG-00243,Venkata Ramana,West Godavari,Attili,Paddy,5.83,65.5,Medium,86,16.645706,81.562415,0.86,0.78,0.57
WG-00244,Sailaja,West Godavari,Bhimavaram,Paddy,10.69,83.2,Low,97,16.55247,81.50839,0.85,0.78,0.6
WG-00245,Ramesh Babu,West Godavari,Elamanchili,Paddy,11.77,66.6,Medium,84,16.756197,81.699889,0.79,0.74,0.56
WG-00246,Padma Priya,West Godavari,Iragavaram,Paddy,5.06,73.3,Medium,86,16.708889,81.623794,0.87,0.8,0.57
WG-00247,Kiran Kumar,West Godavari,Mogalthur,Cotton,10.99,70.5,Medium,89,16.371438,81.569177,0.81,0.76,0.49
WG-00248,Anitha,West Godavari,Narasapuram,Paddy,11.71,79.9,Low,94,16.43581,81.737014,0.92,0.85,0.62
WG-00249,Satyanarayana,West Godavari,Palacoderu,Maize,7.14,75.4,Low,91,16.620428,81.540315,0.81,0.76,0.58
WG-00250,Rajeshwari,West Godavari,Palacole,Paddy,8.62,79.8,Low,90,16.503607,81.747161,0.91,0.85,0.64
WG-00251,Mohan Rao,West Godavari,Pentapadu,Paddy,2.36,74.1,Medium,86,16.735251,81.478196,0.85,0.76,0.61
WG-00252,Divya,West Godavari,Penugonda,Red Gram,2.15,64.0,Medium,90,16.690146,81.736104,0.84,0.77,0.51
WG-00253,Prasad,West Godavari,Penumantra,Paddy,9.75,65.9,Medium,85,16.664148,81.716922,0.77,0.72,0.48
WG-00254,Swapna,West Godavari,Poduru,Paddy,3.83,68.2,Medium,83,16.527863,81.815325,0.76,0.69,0.49
WG-00255,Naresh,West Godavari,Tadepalligudem,Red Gram,4.19,79.7,Low,92,16.80733,81.65433,0.86,0.78,0.59
WG-00256,Bhavani,West Godavari,Tanuku,Paddy,2.78,67.1,Medium,88,16.801494,81.613301,0.82,0.76,0.56
WG-00257,Srinivasa Rao,West Godavari,Undi,Chilli,1.69,77.9,Low,94,16.575803,81.407088,0.82,0.7,0.57
WG-00258,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,7.5,88.3,Low,99,16.613402,81.655835,0.92,0.85,0.65
WG-00259,Venkata Ramana,West Godavari,Ganapavaram,Paddy,6.37,88.0,Low,96,16.666437,81.482327,0.92,0.85,0.57
WG-00260,Sailaja,West Godavari,Kalla,Paddy,11.67,77.8,Low,89,16.427831,81.461211,0.92,0.81,0.6
WG-00261,Srinivasa Rao,West Godavari,Achanta,Paddy,11.6,68.8,Medium,85,16.588137,81.830994,0.75,0.67,0.57
WG-00262,Lakshmi Devi,West Godavari,Akiveedu,Paddy,8.51,74.9,Medium,93,16.498205,81.444501,0.9,0.85,0.51
WG-00263,Venkata Ramana,West Godavari,Attili,Maize,1.6,78.9,Low,86,16.731981,81.592902,0.92,0.85,0.57
WG-00264,Sailaja,West Godavari,Bhimavaram,Paddy,10.23,75.2,Low,87,16.519958,81.454575,0.92,0.85,0.51
WG-00265,Ramesh Babu,West Godavari,Elamanchili,Paddy,10.45,81.6,Low,90,16.65333,81.519304,0.89,0.79,0.58
WG-00266,Padma Priya,West Godavari,Iragavaram,Chilli,3.46,75.6,Low,91,16.662302,81.719181,0.92,0.85,0.62
WG-00267,Kiran Kumar,West Godavari,Mogalthur,Paddy,6.08,78.3,Low,93,16.451347,81.499024,0.84,0.81,0.55
WG-00268,Anitha,West Godavari,Narasapuram,Cotton,5.44,67.8,Medium,86,16.440921,81.605744,0.77,0.67,0.58
WG-00269,Satyanarayana,West Godavari,Palacoderu,Paddy,8.65,79.2,Low,95,16.5924,81.53925,0.92,0.83,0.55
WG-00270,Rajeshwari,West Godavari,Palacole,Paddy,5.02,72.0,Medium,91,16.581378,81.746065,0.79,0.68,0.53
WG-00271,Mohan Rao,West Godavari,Pentapadu,Paddy,5.96,75.4,Low,90,16.806546,81.469482,0.9,0.85,0.6
WG-00272,Divya,West Godavari,Penugonda,Red Gram,3.36,80.4,Low,92,16.629777,81.79157,0.86,0.76,0.58
WG-00273,Prasad,West Godavari,Penumantra,Paddy,9.08,74.8,Medium,87,16.635253,81.652411,0.78,0.7,0.54
WG-00274,Swapna,West Godavari,Poduru,Paddy,7.7,83.9,Low,97,16.586126,81.738313,0.92,0.85,0.56
WG-00275,Naresh,West Godavari,Tadepalligudem,Paddy,4.25,89.2,Low,91,16.842491,81.626821,0.92,0.85,0.64
WG-00276,Bhavani,West Godavari,Tanuku,Maize,9.35,67.3,Medium,86,16.723715,81.616937,0.8,0.72,0.55
WG-00277,Srinivasa Rao,West Godavari,Undi,Red Gram,6.89,77.9,Low,93,16.574684,81.421228,0.83,0.78,0.62
WG-00278,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,1.56,72.5,Medium,89,16.607326,81.581042,0.83,0.76,0.51
WG-00279,Venkata Ramana,West Godavari,Ganapavaram,Paddy,6.88,76.3,Low,87,16.700405,81.501592,0.79,0.76,0.59
WG-00280,Sailaja,West Godavari,Kalla,Chilli,5.32,76.3,Low,88,16.56342,81.427963,0.89,0.81,0.58
WG-00281,Srinivasa Rao,West Godavari,Achanta,Red Gram,3.29,78.5,Low,95,16.624265,81.839178,0.9,0.85,0.64
WG-00282,Lakshmi Devi,West Godavari,Akiveedu,Red Gram,3.37,63.4,Medium,89,16.395707,81.495933,0.73,0.66,0.5
WG-00283,Venkata Ramana,West Godavari,Attili,Cotton,9.39,56.5,High,79,16.733905,81.556394,0.73,0.65,0.46
WG-00284,Sailaja,West Godavari,Bhimavaram,Paddy,2.78,77.0,Low,89,16.548993,81.464709,0.87,0.84,0.57
WG-00285,Ramesh Babu,West Godavari,Elamanchili,Red Gram,7.81,61.3,Medium,86,16.753811,81.645867,0.74,0.7,0.49
WG-00286,Padma Priya,West Godavari,Iragavaram,Cotton,2.07,61.1,Medium,80,16.652012,81.620687,0.79,0.75,0.57
WG-00287,Kiran Kumar,West Godavari,Mogalthur,Chilli,9.99,70.0,Medium,90,16.422711,81.643074,0.81,0.73,0.54
WG-00288,Anitha,West Godavari,Narasapuram,Paddy,10.87,86.0,Low,91,16.346988,81.645313,0.92,0.81,0.62
WG-00289,Satyanarayana,West Godavari,Palacoderu,Paddy,4.37,66.6,Medium,88,16.599632,81.585385,0.82,0.71,0.52
WG-00290,Rajeshwari,West Godavari,Palacole,Paddy,8.01,85.0,Low,89,16.517388,81.67746,0.89,0.8,0.66
WG-00291,Mohan Rao,West Godavari,Pentapadu,Paddy,10.5,83.7,Low,97,16.805937,81.490447,0.92,0.83,0.6
WG-00292,Divya,West Godavari,Penugonda,Paddy,6.52,79.5,Low,88,16.665029,81.796646,0.84,0.79,0.56
WG-00293,Prasad,West Godavari,Penumantra,Paddy,6.75,66.1,Medium,85,16.645549,81.656231,0.86,0.79,0.56
WG-00294,Swapna,West Godavari,Poduru,Cotton,1.98,78.4,Low,87,16.582507,81.764906,0.84,0.77,0.54
WG-00295,Naresh,West Godavari,Tadepalligudem,Paddy,10.81,72.3,Medium,85,16.841317,81.496204,0.81,0.73,0.56
WG-00296,Bhavani,West Godavari,Tanuku,Maize,4.83,61.2,Medium,81,16.754816,81.686919,0.81,0.78,0.52
WG-00297,Srinivasa Rao,West Godavari,Undi,Paddy,7.05,81.4,Low,88,16.593765,81.495276,0.86,0.74,0.64
WG-00298,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,11.36,66.9,Medium,86,16.605125,81.614326,0.88,0.83,0.53
WG-00299,Venkata Ramana,West Godavari,Ganapavaram,Red Gram,4.71,66.9,Medium,88,16.665074,81.457754,0.88,0.85,0.53
WG-00300,Sailaja,West Godavari,Kalla,Paddy,1.56,69.8,Medium,87,16.465829,81.475284,0.89,0.79,0.52
WG-00301,Srinivasa Rao,West Godavari,Achanta,Paddy,8.94,74.4,Medium,93,16.629822,81.780539,0.81,0.77,0.53
WG-00302,Lakshmi Devi,West Godavari,Akiveedu,Paddy,3.91,66.2,Medium,84,16.4988,81.505915,0.86,0.8,0.58
WG-00303,Venkata Ramana,West Godavari,Attili,Paddy,10.64,73.9,Medium,88,16.741906,81.601023,0.79,0.67,0.54
WG-00304,Sailaja,West Godavari,Bhimavaram,Cotton,0.94,57.9,High,86,16.557128,81.497933,0.79,0.69,0.47
WG-00305,Ramesh Babu,West Godavari,Elamanchili,Chilli,8.94,75.9,Low,94,16.741481,81.447473,0.86,0.8,0.57
WG-00306,Padma Priya,West Godavari,Iragavaram,Paddy,7.58,81.0,Low,86,16.678757,81.737391,0.83,0.74,0.62
WG-00307,Kiran Kumar,West Godavari,Mogalthur,Paddy,4.4,70.7,Medium,92,16.38968,81.483747,0.86,0.76,0.5
WG-00308,Anitha,West Godavari,Narasapuram,Maize,6.52,63.1,Medium,82,16.459379,81.702737,0.72,0.69,0.52
WG-00309,Satyanarayana,West Godavari,Palacoderu,Cotton,11.09,69.8,Medium,83,16.548948,81.556598,0.75,0.72,0.52
WG-00310,Rajeshwari,West Godavari,Palacole,Chilli,6.92,65.2,Medium,83,16.537818,81.685675,0.84,0.81,0.59
WG-00311,Mohan Rao,West Godavari,Pentapadu,Paddy,0.84,83.5,Low,94,16.772825,81.468576,0.92,0.8,0.65
WG-00312,Divya,West Godavari,Penugonda,Red Gram,8.56,68.8,Medium,90,16.666418,81.74663,0.86,0.77,0.52
WG-00313,Prasad,West Godavari,Penumantra,Paddy,3.96,81.1,Low,90,16.595473,81.645423,0.85,0.74,0.6
WG-00314,Swapna,West Godavari,Poduru,Paddy,3.42,69.2,Medium,84,16.607606,81.749369,0.89,0.85,0.54
WG-00315,Naresh,West Godavari,Tadepalligudem,Paddy,9.13,73.9,Medium,89,16.815296,81.509927,0.83,0.75,0.56
WG-00316,Bhavani,West Godavari,Tanuku,Chilli,10.8,71.4,Medium,91,16.800091,81.606383,0.82,0.75,0.54
WG-00317,Srinivasa Rao,West Godavari,Undi,Paddy,2.68,73.8,Medium,86,16.664638,81.453923,0.85,0.78,0.53
WG-00318,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,10.52,78.0,Low,86,16.547412,81.601494,0.91,0.85,0.56
WG-00319,Venkata Ramana,West Godavari,Ganapavaram,Red Gram,6.38,59.0,High,87,16.716819,81.514163,0.73,0.61,0.55
WG-00320,Sailaja,West Godavari,Kalla,Paddy,5.51,79.2,Low,95,16.498322,81.444317,0.92,0.85,0.53
WG-00321,Srinivasa Rao,West Godavari,Achanta,Maize,7.17,71.3,Medium,91,16.581069,81.823221,0.91,0.84,0.51
WG-00322,Lakshmi Devi,West Godavari,Akiveedu,Paddy,3.03,82.8,Low,91,16.598456,81.437654,0.92,0.83,0.58
WG-00323,Venkata Ramana,West Godavari,Attili,Paddy,6.02,80.7,Low,89,16.626407,81.609232,0.89,0.8,0.6
WG-00324,Sailaja,West Godavari,Bhimavaram,Paddy,3.6,81.8,Low,96,16.435615,81.48787,0.85,0.79,0.58
WG-00325,Ramesh Babu,West Godavari,Elamanchili,Paddy,7.01,81.7,Low,93,16.71071,81.696183,0.88,0.84,0.56
WG-00326,Padma Priya,West Godavari,Iragavaram,Paddy,10.2,69.6,Medium,88,16.684661,81.677513,0.76,0.71,0.51
WG-00327,Kiran Kumar,West Godavari,Mogalthur,Paddy,9.25,76.1,Low,91,16.425174,81.57941,0.92,0.85,0.52
WG-00328,Anitha,West Godavari,Narasapuram,Maize,2.27,65.6,Medium,90,16.374375,81.697933,0.87,0.81,0.58
WG-00329,Satyanarayana,West Godavari,Palacoderu,Paddy,4.29,68.4,Medium,88,16.515379,81.53608,0.76,0.66,0.56
WG-00330,Rajeshwari,West Godavari,Palacole,Paddy,5.97,76.4,Low,91,16.49356,81.668272,0.83,0.74,0.58
WG-00331,Mohan Rao,West Godavari,Pentapadu,Maize,2.55,62.9,Medium,84,16.816648,81.441678,0.81,0.74,0.55
WG-00332,Divya,West Godavari,Penugonda,Paddy,5.87,82.5,Low,89,16.656019,81.735292,0.88,0.79,0.6
WG-00333,Prasad,West Godavari,Penumantra,Paddy,4.05,75.3,Low,86,16.610388,81.729544,0.87,0.84,0.63
WG-00334,Swapna,West Godavari,Poduru,Paddy,1.13,68.1,Medium,87,16.546305,81.767652,0.89,0.82,0.5
WG-00335,Naresh,West Godavari,Tadepalligudem,Paddy,2.36,74.1,Medium,89,16.862223,81.521808,0.87,0.84,0.62
WG-00336,Bhavani,West Godavari,Tanuku,Paddy,3.73,73.3,Medium,88,16.807124,81.703793,0.83,0.78,0.61
WG-00337,Srinivasa Rao,West Godavari,Undi,Paddy,7.16,74.6,Medium,88,16.612942,81.467143,0.92,0.82,0.6
WG-00338,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,9.64,65.6,Medium,89,16.484917,81.600114,0.76,0.74,0.52
WG-00339,Venkata Ramana,West Godavari,Ganapavaram,Paddy,7.08,69.7,Medium,87,16.685126,81.47961,0.79,0.68,0.55
WG-00340,Sailaja,West Godavari,Kalla,Cotton,0.98,57.5,High,88,16.562051,81.341484,0.7,0.66,0.54
WG-00341,Srinivasa Rao,West Godavari,Achanta,Cotton,2.09,57.2,High,85,16.627226,81.856007,0.7,0.62,0.54
WG-00342,Lakshmi Devi,West Godavari,Akiveedu,Paddy,11.47,71.6,Medium,84,16.428531,81.659766,0.86,0.76,0.6
WG-00343,Venkata Ramana,West Godavari,Attili,Paddy,8.18,65.1,Medium,88,16.644494,81.554362,0.84,0.73,0.53
WG-00344,Sailaja,West Godavari,Bhimavaram,Cotton,10.96,79.2,Low,95,16.540377,81.540919,0.88,0.81,0.57
WG-00345,Ramesh Babu,West Godavari,Elamanchili,Paddy,1.89,69.2,Medium,92,16.456357,81.659543,0.78,0.71,0.54
WG-00346,Padma Priya,West Godavari,Iragavaram,Chilli,5.93,60.1,Medium,82,16.685282,81.65405,0.8,0.73,0.54
WG-00347,Kiran Kumar,West Godavari,Mogalthur,Paddy,6.01,86.3,Low,96,16.441689,81.602153,0.92,0.85,0.58
WG-00348,Anitha,West Godavari,Narasapuram,Paddy,8.31,72.3,Medium,88,16.387898,81.665344,0.79,0.74,0.5
WG-00349,Satyanarayana,West Godavari,Palacoderu,Red Gram,7.93,69.6,Medium,89,16.563006,81.515231,0.83,0.72,0.5
WG-00350,Rajeshwari,West Godavari,Palacole,Paddy,5.01,65.5,Medium,89,16.581309,81.72462,0.81,0.78,0.59
WG-00351,Mohan Rao,West Godavari,Pentapadu,Maize,10.53,74.1,Medium,90,16.741056,81.50295,0.92,0.83,0.53
WG-00352,Divya,West Godavari,Penugonda,Paddy,3.27,65.8,Medium,91,16.658777,81.839529,0.8,0.76,0.54
WG-00353,Prasad,West Godavari,Penumantra,Red Gram,1.6,60.0,Medium,82,16.588257,81.718183,0.78,0.75,0.48
WG-00354,Swapna,West Godavari,Poduru,Red Gram,8.24,61.0,Medium,81,16.543929,81.757707,0.76,0.73,0.54
WG-00355,Naresh,West Godavari,Tadepalligudem,Paddy,10.87,67.9,Medium,90,16.897613,81.509728,0.82,0.73,0.49
WG-00356,Bhavani,West Godavari,Tanuku,Paddy,7.92,85.7,Low,96,16.763932,81.649607,0.89,0.8,0.64
WG-00357,Srinivasa Rao,West Godavari,Undi,Red Gram,11.05,77.3,Low,88,16.660542,81.411649,0.86,0.75,0.64
WG-00358,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,2.96,68.8,Medium,90,16.519617,81.653887,0.83,0.78,0.55
WG-00359,Venkata Ramana,West Godavari,Ganapavaram,Paddy,5.44,81.4,Low,94,16.688617,81.442083,0.87,0.82,0.63
WG-00360,Sailaja,West Godavari,Kalla,Maize,9.2,60.7,Medium,80,16.478405,81.459675,0.7,0.61,0.51
WG-00361,Srinivasa Rao,West Godavari,Achanta,Cotton,11.92,63.0,Medium,89,16.565029,81.838854,0.81,0.77,0.52
WG-00362,Lakshmi Devi,West Godavari,Akiveedu,Paddy,4.12,71.8,Medium,87,16.464863,81.61735,0.91,0.83,0.58
WG-00363,Venkata Ramana,West Godavari,Attili,Red Gram,5.44,64.2,Medium,84,16.659087,81.601591,0.73,0.66,0.52
WG-00364,Sailaja,West Godavari,Bhimavaram,Chilli,1.52,70.7,Medium,86,16.414168,81.460442,0.88,0.76,0.55
WG-00365,Ramesh Babu,West Godavari,Elamanchili,Paddy,9.07,75.6,Low,94,16.623243,81.328021,0.91,0.85,0.57
WG-00366,Padma Priya,West Godavari,Iragavaram,Paddy,10.54,71.3,Medium,91,16.641134,81.666546,0.85,0.76,0.59
WG-00367,Kiran Kumar,West Godavari,Mogalthur,Paddy,6.18,81.1,Low,90,16.420966,81.58357,0.83,0.79,0.55
WG-00368,Anitha,West Godavari,Narasapuram,Paddy,1.81,87.3,Low,93,16.350352,81.650367,0.89,0.8,0.61
WG-00369,Satyanarayana,West Godavari,Palacoderu,Paddy,2.65,73.2,Medium,93,16.593185,81.588046,0.84,0.72,0.57
WG-00370,Rajeshwari,West Godavari,Palacole,Paddy,3.28,82.8,Low,93,16.553131,81.7371,0.92,0.84,0.57
WG-00371,Mohan Rao,West Godavari,Pentapadu,Red Gram,3.52,76.9,Low,86,16.779026,81.476213,0.92,0.83,0.54
WG-00372,Divya,West Godavari,Penugonda,Paddy,5.02,74.5,Medium,87,16.63182,81.792077,0.9,0.83,0.58
WG-00373,Prasad,West Godavari,Penumantra,Cotton,5.44,65.2,Medium,90,16.646557,81.638577,0.8,0.75,0.49
WG-00374,Swapna,West Godavari,Poduru,Red Gram,0.95,77.2,Low,85,16.589628,81.687225,0.87,0.78,0.54
WG-00375,Naresh,West Godavari,Tadepalligudem,Maize,11.4,80.7,Low,91,16.805346,81.462348,0.82,0.74,0.64
WG-00376,Bhavani,West Godavari,Tanuku,Cotton,3.49,74.8,Medium,93,16.714031,81.714716,0.88,0.81,0.59
WG-00377,Srinivasa Rao,West Godavari,Undi,Cotton,1.93,66.6,Medium,83,16.645841,81.528248,0.86,0.75,0.58
WG-00378,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,6.34,67.8,Medium,82,16.505064,81.583539,0.85,0.82,0.49
WG-00379,Venkata Ramana,West Godavari,Ganapavaram,Chilli,1.89,57.7,High,81,16.650594,81.450025,0.75,0.69,0.45
WG-00380,Sailaja,West Godavari,Kalla,Cotton,1.08,72.3,Medium,89,16.468735,81.445413,0.89,0.82,0.5
WG-00381,Srinivasa Rao,West Godavari,Achanta,Paddy,6.69,71.1,Medium,86,16.598539,81.800375,0.91,0.82,0.5
WG-00382,Lakshmi Devi,West Godavari,Akiveedu,Paddy,1.52,72.5,Medium,88,16.404038,81.460968,0.89,0.83,0.54
WG-00383,Venkata Ramana,West Godavari,Attili,Paddy,6.98,68.6,Medium,83,16.739133,81.618432,0.86,0.83,0.57
WG-00384,Sailaja,West Godavari,Bhimavaram,Red Gram,3.1,66.2,Medium,85,16.540658,81.500946,0.8,0.74,0.48
WG-00385,Ramesh Babu,West Godavari,Elamanchili,Cotton,6.73,58.3,High,81,16.644179,81.807857,0.81,0.73,0.54
WG-00386,Padma Priya,West Godavari,Iragavaram,Maize,5.77,68.2,Medium,85,16.650321,81.643898,0.77,0.7,0.52
WG-00387,Kiran Kumar,West Godavari,Mogalthur,Maize,8.98,79.5,Low,95,16.371883,81.606636,0.92,0.85,0.55
WG-00388,Anitha,West Godavari,Narasapuram,Red Gram,9.45,64.5,Medium,84,16.436688,81.680619,0.84,0.8,0.58
WG-00389,Satyanarayana,West Godavari,Palacoderu,Chilli,2.04,65.2,Medium,84,16.575768,81.528503,0.77,0.7,0.48
WG-00390,Rajeshwari,West Godavari,Palacole,Paddy,11.6,81.6,Low,89,16.481202,81.678107,0.92,0.85,0.54
WG-00391,Mohan Rao,West Godavari,Pentapadu,Paddy,9.95,74.6,Medium,91,16.818137,81.594526,0.9,0.85,0.53
WG-00392,Divya,West Godavari,Penugonda,Maize,2.19,70.5,Medium,93,16.674904,81.792577,0.79,0.72,0.58
WG-00393,Prasad,West Godavari,Penumantra,Cotton,11.85,74.9,Medium,88,16.607427,81.692864,0.9,0.82,0.56
WG-00394,Swapna,West Godavari,Poduru,Cotton,1.36,65.2,Medium,88,16.569452,81.734523,0.88,0.83,0.48
WG-00395,Naresh,West Godavari,Tadepalligudem,Red Gram,2.42,77.5,Low,92,16.882651,81.502373,0.92,0.85,0.58
WG-00396,Bhavani,West Godavari,Tanuku,Maize,6.65,60.9,Medium,88,16.748123,81.710752,0.74,0.67,0.5
WG-00397,Srinivasa Rao,West Godavari,Undi,Cotton,4.12,77.3,Low,92,16.673062,81.426437,0.81,0.77,0.63
WG-00398,Lakshmi Devi,West Godavari,Veeravasaram,Cotton,10.57,57.4,High,85,16.502628,81.587612,0.74,0.63,0.5
WG-00399,Venkata Ramana,West Godavari,Ganapavaram,Paddy,1.51,70.7,Medium,87,16.690005,81.59902,0.77,0.67,0.56
WG-00400,Sailaja,West Godavari,Kalla,Paddy,1.47,70.4,Medium,89,16.451143,81.362624,0.8,0.69,0.58
WG-00401,Srinivasa Rao,West Godavari,Achanta,Paddy,8.8,67.9,Medium,84,16.608877,81.814252,0.77,0.7,0.6
WG-00402,Lakshmi Devi,West Godavari,Akiveedu,Cotton,10.63,55.8,High,86,16.802396,81.58594,0.67,0.63,0.46
WG-00403,Venkata Ramana,West Godavari,Attili,Red Gram,10.98,77.3,Low,94,16.635116,81.604235,0.92,0.85,0.56
WG-00404,Sailaja,West Godavari,Bhimavaram,Cotton,3.08,72.1,Medium,85,16.410761,81.511224,0.89,0.85,0.5
WG-00405,Ramesh Babu,West Godavari,Elamanchili,Paddy,9.05,82.3,Low,96,16.551956,81.561099,0.92,0.85,0.55
WG-00406,Padma Priya,West Godavari,Iragavaram,Red Gram,2.0,77.8,Low,90,16.639756,81.728974,0.81,0.77,0.63
WG-00407,Kiran Kumar,West Godavari,Mogalthur,Paddy,5.57,74.6,Medium,93,16.416477,81.500823,0.79,0.76,0.56
WG-00408,Anitha,West Godavari,Narasapuram,Paddy,5.88,67.4,Medium,85,16.339333,81.63569,0.76,0.69,0.59
WG-00409,Satyanarayana,West Godavari,Palacoderu,Paddy,2.22,87.4,Low,89,16.605606,81.593995,0.92,0.85,0.59
WG-00410,Rajeshwari,West Godavari,Palacole,Maize,9.24,64.2,Medium,89,16.517638,81.685668,0.79,0.76,0.54
WG-00411,Mohan Rao,West Godavari,Pentapadu,Maize,3.03,63.1,Medium,86,16.743023,81.510331,0.84,0.76,0.5
WG-00412,Divya,West Godavari,Penugonda,Chilli,7.9,57.6,High,87,16.662287,81.733292,0.7,0.61,0.55
WG-00413,Prasad,West Godavari,Penumantra,Cotton,7.24,71.7,Medium,86,16.595145,81.74689,0.83,0.77,0.58
WG-00414,Swapna,West Godavari,Poduru,Paddy,3.78,82.7,Low,91,16.525125,81.79541,0.82,0.74,0.59
WG-00415,Naresh,West Godavari,Tadepalligudem,Paddy,4.16,79.8,Low,94,16.874522,81.621302,0.92,0.85,0.63
WG-00416,Bhavani,West Godavari,Tanuku,Chilli,10.47,64.1,Medium,83,16.791309,81.621598,0.77,0.68,0.49
WG-00417,Srinivasa Rao,West Godavari,Undi,Red Gram,3.97,68.9,Medium,92,16.618895,81.470009,0.83,0.73,0.49
WG-00418,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,4.44,82.0,Low,96,16.562054,81.650399,0.86,0.83,0.56
WG-00419,Venkata Ramana,West Godavari,Ganapavaram,Red Gram,11.86,62.2,Medium,81,16.692046,81.57073,0.76,0.66,0.48
